plant_name,soil_types,soil_ph_min,soil_ph_max,temperature_min_c,temperature_max_c,humidity_min_pct,humidity_max_pct,rainfall_min_mm,rainfall_max_mm,sunlight,irrigation,planting_months,growing_durations,minimum_budget_lkr,growing_spaces,soil_requirement,sunlight_requirement,watering_requirement,planting_method,fertilizer_care,growing_period,selling_price_lkr,harvesting_information
Belathana,Sandy;Loamy,5.5,7.5,20,35,45,90,80,250,Full;Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1000,Under 1 perch;1-5 perches;6-10 perches;11-20 perches,Well-drained loamy or sandy soil,Full to partial sunlight,Water during dry periods,Sow seeds in prepared beds,Use light compost before planting,2 to 4 months,Varies by local herb market,Harvest aerial parts before seed maturity
Polpala,Sandy;Loamy,6.0,7.5,22,35,40,85,40,180,Full;Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches;11-20 perches,Well-drained sandy loam,Full to partial sunlight,Water lightly and avoid waterlogging,Sow seeds directly,Apply compost at planting,3 to 4 months,Varies by dried herb market,Harvest whole plants at flowering
Kikiridiya,Silty;Loamy,5.5,7.0,20,35,65,100,100,350,Full;Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Moist loamy or silty soil,Full to partial sunlight,Keep soil consistently moist,Sow seeds or transplant seedlings,Use compost every month,2 to 4 months,Varies by fresh herb market,Harvest leaves and tender shoots
Nutmeg,Loamy;Silty,5.5,6.5,22,32,70,100,150,350,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,15000,51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre;More than 1 acre,Deep fertile well-drained loam,Partial to full sunlight,Water young trees in dry spells,Plant grafted seedlings or fresh seed,Apply compost twice yearly,6 to 8 years for first harvest,Varies by spice grade and market,Harvest ripe fruits when they split
Castor,Sandy;Loamy,5.5,7.5,20,35,40,85,50,200,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August,Medium,2000,1-5 perches;6-10 perches;11-20 perches;21-50 perches,Well-drained sandy loam,Full sunlight,Water while establishing then sparingly,Sow seeds with safe handling,Use compost before planting,4 to 6 months,Varies by seed and oil market,Harvest dry seed capsules with protective handling
Adhatoda,Loamy;Silty,6.0,7.5,20,35,55,95,80,250,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Medium;Long,2500,1-5 perches;6-10 perches;11-20 perches,Moist fertile loamy soil,Partial to full sunlight,Water regularly during establishment,Plant stem cuttings or seedlings,Apply compost twice yearly,6 to 9 months for leaf harvest,Varies by local herb market,Harvest mature leaves without stripping plants
Nika,Loamy;Sandy,6.0,7.5,20,35,45,85,60,200,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Medium;Long,3000,6-10 perches;11-20 perches;21-50 perches,Well-drained loamy soil,Full to partial sunlight,Water during dry periods,Plant stem cuttings or seedlings,Apply compost twice yearly,8 to 12 months for leaf harvest,Varies by local herb market,Harvest leaves and small branches selectively
Asamodagam,Loamy;Sandy,6.0,7.5,15,28,40,75,30,120,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Light well-drained loam,Full sunlight,Water lightly and keep drainage good,Sow seeds directly,Use compost before sowing,3 to 4 months,Varies by seed market,Harvest seeds after umbels dry
Iramusu,Sandy;Loamy,6.0,7.5,22,35,45,85,60,200,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,5000,6-10 perches;11-20 perches;21-50 perches,Deep well-drained sandy loam,Partial to full sunlight,Water regularly while roots establish,Plant root cuttings or seedlings,Apply compost before planting,12 to 18 months,Varies by dried-root market,Harvest mature roots carefully
Ranawara,Sandy;Loamy,6.0,8.0,22,38,35,75,30,150,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July,Medium;Long,3000,6-10 perches;11-20 perches;21-50 perches,Well-drained sandy loam,Full sunlight,Water lightly after planting,Plant seeds or nursery seedlings,Apply compost at planting and annually,10 to 14 months for flowers,Varies by dried-flower market,Harvest fully opened flowers and dry promptly
Mukunuwenna,Loamy;Silty,6.0,7.5,20,32,60,100,80,300,Partial;Full,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short,1200,Under 1 perch;1-5 perches;6-10 perches,Moist fertile loam,Partial to full sunlight,Keep soil moist,Sow seeds or plant cuttings,Add compost every 3 weeks,30 to 45 days,Varies by fresh-leaf market,Harvest young leaves repeatedly
Hathawariya,Sandy;Loamy,6.0,7.5,20,35,45,85,60,200,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,5000,6-10 perches;11-20 perches;21-50 perches,Loose sandy loam rich in organic matter,Partial to full sunlight,Water regularly without waterlogging,Plant root divisions or seedlings,Apply compost twice yearly,18 to 24 months,Varies by dried-root market,Harvest mature tuberous roots carefully
Venivel,Loamy;Silty,5.5,6.5,22,32,70,100,150,350,Partial;Low,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,7000,11-20 perches;21-50 perches;51-100 perches,Humus-rich moist forest loam,Low to partial sunlight,Keep soil evenly moist,Plant stem cuttings or seedlings,Use leaf compost and mulch,24 to 36 months,Varies by legally sourced stem market,Harvest mature stems sustainably
Sudu Kukurumaan,Loamy;Sandy,5.5,7.5,22,35,45,85,60,200,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,4000,11-20 perches;21-50 perches;51-100 perches,Well-drained loamy soil,Full to partial sunlight,Water young plants during dry spells,Plant seeds or seedlings,Apply compost twice yearly,2 to 3 years for fruiting,Varies by fruit and herb market,Harvest ripe fruits and mature leaves selectively
Katuwelbatu,Sandy;Loamy,6.0,7.5,20,35,40,80,40,160,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August,Medium,2000,1-5 perches;6-10 perches;11-20 perches,Well-drained sandy loam,Full sunlight,Water moderately and avoid waterlogging,Sow seeds or transplant seedlings,Apply compost at planting,5 to 7 months,Varies by dried-fruit market,Harvest mature fruits and roots sustainably
Beli,Loamy;Sandy,5.5,7.5,20,38,40,85,50,200,Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,6000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre,Deep well-drained loam,Full sunlight,Water young trees during dry periods,Plant grafted seedlings or seeds,Apply compost twice yearly,3 to 5 years for fruiting,Varies by fruit and herbal-product market,Harvest mature fruits when yellow-green
Karapincha,Loamy;Sandy,6.0,7.5,20,35,40,85,50,180,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Medium;Long,2500,1-5 perches;6-10 perches;11-20 perches,Well-drained loamy soil,Full to partial sunlight,Water regularly while establishing,Plant seeds or stem cuttings,Apply compost every 2 months,6 to 9 months for leaf harvest,Varies by fresh-leaf market,Harvest leaves regularly without over-pruning
Kothalahimbutu,Sandy;Loamy,5.5,7.0,20,32,60,95,100,300,Partial;Low,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,7000,11-20 perches;21-50 perches;51-100 perches,Moist well-drained forest loam,Low to partial sunlight,Keep soil moist with mulch,Plant seedlings or stem cuttings,Use leaf compost twice yearly,18 to 24 months,Varies by dried-herb market,Harvest mature stems sustainably
Heenbovitiya,Loamy;Silty,5.5,7.0,20,32,65,100,100,300,Partial;Low,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Medium;Long,4000,6-10 perches;11-20 perches;21-50 perches,Moist humus-rich loam,Low to partial sunlight,Keep soil evenly moist,Plant seedlings or rooted cuttings,Apply leaf compost and mulch,8 to 12 months,Varies by local herb market,Harvest leaves and stems selectively
Kothamalli,Loamy;Sandy,6.0,7.5,15,28,40,75,20,100,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Short,1200,Under 1 perch;1-5 perches;6-10 perches,Light fertile well-drained loam,Full sunlight,Water lightly and regularly,Sow seeds directly,Use compost before sowing,2 to 3 months,Varies by leaf and seed market,Harvest leaves early or dry seed heads
Soursop,Loamy;Sandy,5.5,6.5,22,35,60,95,100,300,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,7000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre,Deep fertile well-drained loam,Full to partial sunlight,Water during dry periods,Plant grafted seedlings or seeds,Apply compost twice yearly,3 to 4 years for fruiting,Varies by fruit market,Harvest fruits when softening
Moringa,Sandy;Loamy,6.0,8.0,22,38,30,75,20,150,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July,Medium;Long,2500,6-10 perches;11-20 perches;21-50 perches,Well-drained sandy or loamy soil,Full sunlight,Water while establishing then sparingly,Plant seeds or stem cuttings,Apply compost twice yearly,6 to 9 months for leaves,Varies by leaf and pod market,Harvest leaves and young pods regularly
Bael Basil,Loamy;Sandy,6.0,7.5,20,35,40,85,40,180,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Well-drained fertile loam,Full to partial sunlight,Water when topsoil dries,Sow seeds or plant cuttings,Use compost every 4 to 6 weeks,3 to 4 months,Varies by fresh-herb market,Harvest leaves before flowering
Butterfly Pea,Loamy;Sandy,6.0,7.5,20,35,45,85,50,200,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August;September;October,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Well-drained sandy loam,Full to partial sunlight,Water moderately while establishing,Sow scarified seeds near support,Apply compost at planting,3 to 4 months for flowers,Varies by fresh and dried flower market,Harvest open flowers frequently
Sandalwood,Sandy;Loamy,6.0,8.0,20,35,35,75,30,150,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August,Long,10000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre,Well-drained red or sandy loam,Full to partial sunlight,Water seedlings during dry periods,Plant nursery seedlings with host plants,Apply compost sparingly,10 to 15 years,Varies and may be regulated,Harvest only under applicable forestry rules
Brahmi,Silty;Loamy,5.5,7.0,20,35,65,100,100,350,Low;Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,June;July;August;September;October,Short;Medium,1800,Under 1 perch;1-5 perches;6-10 perches,Moist silty loam,Low to partial sunlight,Keep soil consistently moist,Plant stem cuttings or rooted runners,Apply light compost monthly,2 to 3 months,Varies by fresh herb market,Harvest tender shoots regularly
Vasaka,Loamy;Silty,6.0,7.5,20,35,55,95,80,250,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Medium;Long,2500,1-5 perches;6-10 perches;11-20 perches,Moist fertile loamy soil,Partial to full sunlight,Water regularly during establishment,Plant stem cuttings or seedlings,Apply compost twice yearly,6 to 9 months for leaf harvest,Varies by local herb market,Harvest mature leaves without stripping plants
Kuppameniya,Loamy;Sandy,6.0,7.5,22,35,45,85,50,200,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1200,Under 1 perch;1-5 perches;6-10 perches,Well-drained loamy soil,Full to partial sunlight,Water moderately,Sow seeds or transplant seedlings,Apply compost before planting,3 to 4 months,Varies by local herb market,Harvest leaves and tender stems
Kekiri,Loamy;Sandy,6.0,7.5,22,35,50,90,60,200,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August,Short,2000,1-5 perches;6-10 perches;11-20 perches,Rich well-drained sandy loam,Full sunlight,Water regularly especially at flowering,Sow seeds near trellis support,Apply compost and mulch,2 to 3 months,Varies by fresh fruit market,Harvest tender fruits frequently
Black Cumin,Loamy;Sandy,6.0,7.5,15,28,40,70,20,100,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Light well-drained loam,Full sunlight,Water lightly and avoid waterlogging,Sow seeds directly,Use compost before sowing,3 to 4 months,Varies by seed market,Harvest dry seed capsules
Fenugreek,Loamy;Sandy,6.0,7.5,15,30,40,75,20,120,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Short,1200,Under 1 perch;1-5 perches;6-10 perches,Well-drained fertile loam,Full sunlight,Water lightly and regularly,Sow seeds directly,Use compost before sowing,2 to 3 months,Varies by leaf and seed market,Harvest leaves early or dry seed pods
Pepper,Loamy;Silty,5.5,6.5,22,32,65,100,150,350,Partial;Low,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,8000,6-10 perches;11-20 perches;21-50 perches,Rich moist well-drained loam,Low to partial sunlight,Water during dry spells and mulch well,Plant rooted cuttings near live supports,Apply compost twice yearly,3 to 4 years for first harvest,Varies by pepper grade and market,Harvest spikes when berries mature
Cardamom,Loamy;Silty,5.5,6.5,18,30,70,100,150,350,Low;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,10000,11-20 perches;21-50 perches;51-100 perches,Humus-rich moist forest loam,Low to partial sunlight,Keep soil evenly moist and mulched,Plant suckers or seedlings,Apply compost and organic mulch,2 to 3 years,Varies by capsule grade and market,Harvest mature green capsules in rounds
Galangal,Loamy;Silty,5.5,6.5,20,32,60,95,100,300,Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,March;April;May;June;July,Medium,6000,1-5 perches;6-10 perches;11-20 perches,Moist rich loamy soil,Partial sunlight,Keep soil moist with regular watering,Plant healthy rhizome pieces,Apply compost every 6 weeks,8 to 10 months,Varies by rhizome market,Harvest rhizomes after foliage yellows
Garlic,Loamy;Sandy,6.0,7.5,12,28,40,75,20,120,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Medium,3000,Under 1 perch;1-5 perches;6-10 perches,Loose fertile well-drained loam,Full sunlight,Water lightly and stop near harvest,Plant healthy cloves point upward,Use compost before planting,4 to 6 months,Varies by bulb market,Harvest when lower leaves yellow
Onion,Loamy;Sandy,6.0,7.5,15,30,40,75,20,120,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;September;October;November,Medium,3000,Under 1 perch;1-5 perches;6-10 perches,Loose fertile well-drained loam,Full sunlight,Water regularly then reduce before harvest,Sow seeds or plant sets,Use compost before planting,4 to 5 months,Varies by bulb market,Harvest when tops fall over and dry
Roselle,Loamy;Sandy,5.5,7.5,22,35,45,85,50,200,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June;July;August,Medium,2000,1-5 perches;6-10 perches;11-20 perches,Well-drained fertile loam,Full sunlight,Water regularly while establishing,Sow seeds directly,Apply compost at planting,4 to 6 months,Varies by calyx and leaf market,Harvest fleshy calyces after flowering
King of Bitters,Loamy;Sandy,6.0,7.5,20,35,45,85,50,200,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,Well-drained loamy soil,Full to partial sunlight,Water moderately,Sow seeds or transplant seedlings,Apply light compost at planting,3 to 4 months,Varies by dried herb market,Harvest aerial parts at flowering
Java Plum,Loamy;Silty,5.5,7.5,20,38,50,95,80,300,Full;Partial,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September,Long,6000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre,Deep fertile well-drained loam,Full to partial sunlight,Water young trees during dry periods,Plant grafted seedlings or seeds,Apply compost twice yearly,4 to 6 years for fruiting,Varies by fruit and seed market,Harvest ripe purple fruits carefully
Indian Gooseberry,Loamy;Sandy,6.0,8.0,20,38,35,80,30,180,Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August,Long,6000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre,Well-drained sandy loam,Full sunlight,Water young trees in dry periods,Plant grafted seedlings,Apply compost twice yearly,3 to 5 years for fruiting,Varies by fruit market,Harvest firm mature fruits
