species,disease_name,display_name,description,typical_symptoms,healthy_difference,medicinal_use_instruction,treatment_instruction,medicinal_suitability_level,medicinal_suitability_assessment,reference
Neem,Web_Blight,Web Blight,A fungal web-blight disease reported on neem and associated with Rhizoctonia solani. Adjacent infected leaves can become connected by fungal growth.,"Grayish-brown blotches that enlarge, silky or web-like fungal growth between nearby leaves, leaf curling, necrosis, and possible premature detachment.","Healthy neem leaves lack gray-brown spreading blotches, necrotic webbed tissue, and fungal strands joining neighboring leaves.","Not recommended for medicinal use: discard leaves with webbing, spreading necrosis, or tissue collapse. Use separate healthy leaves only after the infection is controlled.","Remove blighted leaves and fallen debris, thin dense growth to improve airflow, and avoid overhead irrigation or prolonged wet foliage. If severe, confirm the diagnosis and use only a locally registered treatment.",Not_Recommended,"Fungal webbing, necrosis and tissue deterioration make the affected leaf unsuitable for medicinal use.",https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.techscience.com/cmc/v69n2/43865/html | https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://www.extension.umd.edu/resource/rhizoctonia-web-blight-flowers
Neem,Spot,Leaf Spot,"A general neem leaf-spot class. Recent medicinal-leaf classification work describes this class by distinct brown spots with a circular ring. Several fungal leaf-spot pathogens are reported on neem, so the label should not imply one pathogen unless confirmed.","Clearly defined brown spots, often circular or ringed; lesions may increase in number or size, and some leaf-spot diseases can produce pale or gray areas and premature shedding when severe.",Healthy neem leaves should be uniformly green without clearly defined circular brown lesions or expanding necrotic spots.,"Not recommended for medicinal use when spots are active, numerous, or necrotic. Discard the affected leaf rather than cutting around the lesions; use a separate healthy leaf after the problem is controlled.","Remove severely spotted leaves and fallen debris, improve airflow, and avoid prolonged leaf wetness. Confirm the causal leaf-spot disease before applying any disease-specific treatment.",Expert_Verification_Recommended,"A generic 'Spot' label may represent several causes. Because the exact condition is uncertain, medicinal suitability should be verified rather than inferred from the image alone.",https://doi.org/10.1038/s41598-026-39182-3 | https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
betel,Leaf_Rot,Leaf Rot,"A destructive betel-leaf rot syndrome commonly associated with Phytophthora species in betel pathology literature, especially under warm, wet and highly humid conditions.","Circular or irregular dark-brown water-soaked lesions that enlarge, become black or rotten-looking, and may spread rapidly during persistent humidity; severe infection can cause defoliation.","Healthy betel leaves are glossy, green, firm and intact without water-soaked expanding brown-black rot lesions.","Not recommended for medicinal or culinary use: discard any betel leaf showing water-soaked, soft, rotten, blackened, or expanding lesions. Do not cut away the rotten area and use the remainder.","Remove infected leaves/vines and plant debris, improve drainage, avoid waterlogging and frequent overhead irrigation, and keep foliage as dry as practical. For persistent Phytophthora problems, use locally recommended integrated management and only registered treatments.",Not_Recommended,"Rotten, water-soaked or decomposing betel tissue should not be used for medicinal or culinary preparation.",https://plantuse.plantnet.org/en/Piper_betle_%28PROSEA%29 | https://bsppjournals.onlinelibrary.wiley.com/doi/full/10.1002/ndr2.12140 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://www.agritech.tnau.ac.in/horticulture/horti_plantation%20crops_betelvine.html
betel,Leaf_Spot,Leaf Spot / Anthracnose,"A foliar spotting condition of betel. Colletotrichum-associated anthracnose/leaf spot is among the commonly reported causes, although the exact pathogen should be confirmed for a given dataset.","Small circular or oval brown to dark lesions, often with a yellowish border or halo; spots can enlarge, develop concentric patterns, merge, and form larger necrotic areas.","Healthy betel leaves are evenly green and glossy without expanding brown necrotic spots, yellow halos, or coalescing lesions.",Not recommended for medicinal use when lesions are visible or expanding. Discard the affected leaf; harvest separate healthy leaves after the disease is under control.,"Remove heavily spotted leaves and infected debris, improve airflow, reduce prolonged leaf wetness and splash, and maintain clean planting material. Use only a registered treatment after confirming the causal leaf-spot disease.",Not_Recommended,Active necrotic leaf spotting is substandard medicinal raw material. Prefer separate healthy leaves after the problem is controlled.,https://plantuse.plantnet.org/en/Piper_betle_%28PROSEA%29 | https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-19-2206-PDN | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://www.agritech.tnau.ac.in/horticulture/horti_plantation%20crops_betelvine.html
centella_asiatica,Dried,Dried Leaf Condition,"A low-moisture or post-harvest quality condition, not a disease diagnosis. A published Centella asiatica image dataset includes a Dried class, and dried Centella leaves are also intentionally prepared for products such as teas, decoctions and infusions.","Loss of fresh turgor, shriveled or dry texture, increased brittleness, reduced pliability, and possible darkening or other color changes associated with moisture loss.","Fresh healthy Centella leaves are generally green, pliable and turgid rather than brittle, shriveled or markedly dehydrated.","Conditionally suitable only if the leaf was intentionally dried using a hygienic, controlled process and shows no mold, decay, abnormal odor, insect contamination, or re-wetting. If the leaf dried unintentionally on the plant or shows deterioration, do not use it as medicinal material.","This is not a disease. If drying occurred on the living plant, check soil moisture, drainage, heat/sun stress, root health, and irrigation. If it is post-harvest drying, control drying conditions and store the material dry and protected from moisture and contamination.",Conditionally_Suitable,"Intentional hygienic drying can preserve medicinal constituents, but suitability depends strongly on the drying method, storage conditions and absence of mould or contamination.",https://doi.org/10.1016/j.dib.2024.111150 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9642956/ | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://doi.org/10.1016/j.sajb.2015.01.013
centella_asiatica,WormCreep,Worm Creep Damage,"A caterpillar-feeding abnormality reported for Centella asiatica. The source study calls this 'Worm Creep Disease', but biologically it is better treated as insect/pest damage rather than a pathogen-caused disease.","Chewed or missing leaf tissue, progressive feeding on both young and older leaves, ragged leaf edges, partial defoliation, and in severe cases extensive loss of leaves with mainly stems or petioles remaining.","Healthy Centella asiatica leaves are intact, green and spreading, without extensive chewing, missing tissue, ragged margins, or progressive defoliation.","Do not use heavily caterpillar-damaged, contaminated, or partly decomposed leaves for medicinal preparation. Prefer separate intact healthy leaves after the pest problem has been controlled. Do not assume that cutting around visible feeding damage makes a heavily affected leaf suitable.","Inspect both leaf surfaces and nearby growth for caterpillars and eggs; hand-pick small populations where practical and remove severely damaged leaves. Encourage natural enemies. If control is necessary, use only a product registered for the crop and pest, such as an appropriate caterpillar-specific biological control where locally permitted, and follow all label and pre-harvest instructions.",Low_Suitability,Caterpillar feeding removes tissue and may introduce frass or contamination. Heavily damaged leaves are poor-quality medicinal material; intact healthy leaves are preferred.,https://doi.org/10.3390/agriengineering6010037 | https://www.extension.umd.edu/resource/caterpillars-trees | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
centella_asiatica,Redmite,Red Mite Damage,A mite-feeding abnormality reported for Centella asiatica. Red/spider mites feed on leaf sap and damage chlorophyll-containing tissue; this is pest damage rather than a fungal or bacterial disease.,"Fine pale-yellow spotting or stippling on the upper leaf surface, loss of normal green color, possible bronzing, wilting or drying, reduced vigor, premature leaf fall, and sometimes fine webbing when mite populations are high.","Healthy Centella asiatica leaves are evenly green and turgid, without widespread stippling, bronzing, mite webbing, abnormal wilting, or premature drying.","Do not use leaves with heavy mite injury, extensive discoloration, webbing, contamination, or tissue deterioration for medicinal preparation. Prefer separate healthy leaves after the infestation has been controlled.","Check the undersides of leaves for mites and fine webbing. Keep plants adequately watered because drought stress can worsen mite problems, and use a firm water spray where practical to dislodge mites. Protect predatory insects and mites and avoid unnecessary broad-spectrum insecticides. If a miticide or other control is required, use only one registered for the crop and observe the label and pre-harvest interval.",Low_Suitability,"Mite feeding causes physiological stress and visible tissue damage. Some medicinal constituents may remain, but heavily affected leaves have reduced and uncertain quality.",https://doi.org/10.3390/agriengineering6010037 | https://extension.usu.edu/vegetableguide/leafy-greens/spider-mite | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
centella_asiatica,Phosphorus_deficiency,Phosphorus Deficiency,"A nutritional disorder rather than an infectious disease. In Centella asiatica leaf-abnormality research, phosphorus deficiency is associated with restricted growth and dark green to purple pigmentation.","Stunted or reduced shoot growth, unusually dark or dull green foliage, reddish-purple or violet pigmentation in some leaves, smaller leaves, and reduced overall plant development. Symptoms may be more evident on older plant parts.","Healthy Centella asiatica plants show normal spreading growth and appropriately green leaves without abnormal purple pigmentation, strong growth suppression, or unusually small leaves.",Treat pronounced phosphorus-deficiency symptoms as a quality warning rather than an infectious disease. Prefer normally developed healthy green leaves for medicinal preparation. The visual appearance alone cannot establish the chemical quality or active-compound content of a deficient leaf.,"Confirm the suspected deficiency with soil, growing-medium, or nutrient-solution testing before adding phosphorus. Check pH and root health because phosphorus can be present but unavailable. If testing confirms low available phosphorus, correct it using a phosphorus source appropriate for the growing system and recommended locally; avoid excessive phosphorus application.",Expert_Verification_Recommended,"Phosphorus deficiency can alter growth and secondary-metabolite accumulation, but the direction and magnitude cannot be determined reliably from an image. Nutrient/soil verification is recommended.",https://doi.org/10.3390/agriengineering6010037 | https://plantscience.psu.edu/research/labs/roots/methods/methods-info/nutritional-disorders-displayed/phosphorus-deficiency | https://extension.psu.edu/managing-phosphorus-for-crop-production | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://pubmed.ncbi.nlm.nih.gov/23608744/ | https://doi.org/10.1016/j.jplph.2013.03.010
holy_basil,Downy_Mildew,Downy Mildew,A serious basil disease caused by the oomycete Peronospora belbahrii. Symptoms often begin as yellowing before characteristic sporulation becomes visible on the underside of the leaf.,"Angular or vein-bounded yellow/chlorotic areas on the upper surface, gray to purplish fuzzy/downy growth on the underside, followed by brown or black necrotic tissue as disease progresses.",Healthy holy basil leaves are evenly green without vein-bounded yellow patches or gray-purple downy growth on the lower surface.,Not recommended for medicinal use: discard leaves with yellow angular lesions or gray/purple downy growth. Do not wash or trim an infected leaf for medicinal use.,"Remove infected leaves/plants, reduce canopy humidity, improve spacing and airflow, water at the base, and avoid prolonged leaf wetness. Use resistant varieties where available and follow locally approved disease-management guidance.",Not_Recommended,Active downy mildew and associated tissue damage make the affected leaf unsuitable for medicinal raw material.,https://www.vegetables.cornell.edu/pest-management/disease-factsheets/basil-downy-mildew/ | https://ask.ifas.ufl.edu/publication/PP271 | https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://enych.cce.cornell.edu/submission.php?crumb=pests%7Cpests&id=557
holy_basil,Web_Blight,Web Blight,A web-blight condition in holy basil characterized in recent medicinal-leaf classification work by thin fungal webbing with necrosis and tissue death. The exact causal organism should be confirmed when pathogen-level diagnosis is required.,"Thin web-like fungal growth across affected tissue, spreading brown or necrotic areas, tissue collapse or death, and possible sticking together of nearby affected leaf surfaces.","Healthy holy basil leaves lack fungal webbing, spreading necrotic patches, and dead collapsed tissue.","Not recommended for medicinal use: discard leaves with fungal webbing, spreading brown lesions, or dead tissue. Use only separate healthy leaves after the disease is controlled.","Remove infected foliage and fallen debris, thin dense growth, improve airflow, and avoid overhead irrigation or prolonged humid/wet foliage. Confirm the causal organism before using any fungicide.",Not_Recommended,Fungal webbing and necrotic tissue indicate active disease and make the affected leaf unsuitable for medicinal use.,https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://www.extension.umd.edu/resource/rhizoctonia-web-blight-flowers
holy_basil,Yellow_Spot,Yellow Spot,"A visible leaf-spot condition in holy basil. In a recent medicinal-leaf disease dataset, Yellow Spot was characterized by a light yellow ring around an initial lesion and was described as compatible with bacterial or fungal spotting, not a single confirmed pathogen.","Localized yellow spot or pale yellow halo/ring around an initial lesion, sometimes followed by darker central tissue or enlargement of the affected area.",Healthy holy basil leaves are more uniformly green and lack localized yellow-ringed lesions or spot-associated discoloration.,Not recommended when yellow spotting is pronounced or unexplained. Discard the affected leaf and use separate healthy green leaves only after the cause is identified.,"Treat this first as a symptom class: remove badly affected leaves, reduce splash and prolonged wetness, inspect for pests and other disease signs, and obtain diagnosis if the condition spreads before choosing a pathogen-specific treatment.",Expert_Verification_Recommended,Yellow spotting may arise from infectious or physiological causes. The image alone does not establish the cause or medicinal-material quality.,https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
holy_basil,Anthocyanin_Pigmentation,Anthocyanin Pigmentation,"A pigmentation/physiological class rather than an infectious disease. Holy basil (Ocimum tenuiflorum / O. sanctum) occurs in green and purple subtypes. Research shows that purple Tulsi accumulates substantially more anthocyanin pigments in the foliage, with higher expression of anthocyanin-biosynthesis genes. Therefore purple or reddish-violet coloration can be normal varietal pigmentation rather than disease.","Purple, reddish-purple or violet coloration over part or much of the leaf, sometimes also visible on stems and inflorescences. When it is normal anthocyanin pigmentation, the tissue remains intact and does not show the necrotic lesions, fuzzy growth, water-soaking or rotting expected from disease.","Green/Rama Tulsi is predominantly green, while purple/Krishna (Shyama) Tulsi naturally contains much more anthocyanin and may appear purple or reddish-violet. Thus pigmentation must be interpreted with the plant subtype and the absence or presence of true disease symptoms.","Do not reject a holy basil leaf solely because of normal anthocyanin pigmentation. If the coloration is consistent with a healthy purple Tulsi subtype and there are no signs of disease, decay, pest contamination or other deterioration, the pigmentation itself is not evidence of poor medicinal quality. Visual assessment still cannot confirm chemical composition, contamination or clinical safety.","No disease treatment is required for normal varietal anthocyanin pigmentation. First confirm whether the plant is a naturally purple Tulsi subtype. If a normally green plant develops unexpected purple coloration together with poor growth or other stress symptoms, investigate environmental and nutritional stress rather than automatically treating it as an infection.",Suitable,Normal anthocyanin pigmentation can be a healthy characteristic of purple/Krishna Tulsi and is not itself evidence of disease or reduced medicinal quality.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7423827/ | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9634403/
kalanchoe_pinnata,Web_Blight,Web Blight,"A fungal web-blight condition reported for Kalanchoe pinnata in medicinal-leaf classification work, characterized by mycelial webbing and confluent necrotic damage.","Gray mycelial or web-like growth, brown to dark necrotic spots that merge into larger affected areas, tissue death, and possible collapse of badly affected portions of the succulent leaf.","Healthy Kalanchoe pinnata leaves are evenly green and succulent with intact edges and no gray webbing, spreading necrosis or abnormal discoloration.","Not recommended for medicinal use: discard leaves showing webbing, spreading necrosis, or soft/collapsing tissue. Do not salvage the same affected leaf by trimming.","Remove affected leaves and debris, improve airflow, avoid overhead irrigation and persistent humidity, and keep the succulent foliage dry. Confirm the causal disease before applying any treatment.",Not_Recommended,Active fungal web blight with necrotic tissue makes the affected leaf unsuitable for medicinal raw material.,https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://www.extension.umd.edu/resource/rhizoctonia-web-blight-flowers
kalanchoe_pinnata,Yellow,General Yellowing,"A yellowing/stress condition rather than a single pathogen-specific disease. In a recent Kalanchoe pinnata dataset, the Yellow class was described as broad leaf yellowing while veins may remain greener, consistent with nutrient stress or possible early viral/systemic stress.","Generalized yellowing of much of the leaf blade, sometimes with greener veins, reduced normal green coloration, and no requirement for a distinct necrotic lesion.","Healthy Kalanchoe pinnata leaves are evenly green, succulent and intact rather than broadly yellowed or chlorotic.","Not recommended when the leaf is broadly yellow, stressed, or deteriorating. Use separate healthy green succulent leaves only after the underlying cause is corrected.","Do not treat yellowing as a specific disease. Check overwatering, drainage, root health, light/heat stress, nutrition, and pests; correct the confirmed cause and monitor new growth.",Expert_Verification_Recommended,"Yellowing is nonspecific and may result from water, nutrient, root, environmental or disease stress. Suitability cannot be established from appearance alone.",https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
